doc_id,fecha_iso,proyecto_instalacion,territorio,territorio_tipo,organizacion,organizacion_demandante_tipo,organizacion_demandada_tipo,procedimiento,procedimiento_familia,evento_fase,macrohilo_id,subhilo_primario,abstuvo,subhilo_secundario,subhilo_secundario_evidencia,multiasignado
1153,2026-01-30,estrategia nacional del litio,region de antofagasta,region,consejo de pueblos atacamenos;gobierno de jose antonio kast,comunidad indigena,gobierno entrante y comunidades,reunion y llamado publico,otro,otro::2026-01,H0000,estrategia nacional del litio,False,,[],False
1157,2025-10-02,estrategia nacional del litio,salar de maricunga,salar,"codelco, estado de chile, sea;colla pai ote",Comunidad indígena,Empresa estatal y Estado,denuncia publica,manifestacion_publica,manifestacion_publica::2025-10,H0000,estrategia nacional del litio,False,,[],False
1159,2025-08-20,estrategia nacional del litio,salar de atacama,salar,"corfo, sqm salar s.a., codelco;pueblo atacameno lickanantay, comunidad de coyo, asociacion de regantes y agricultores de san pedro de atacama (araspa), consejo de asociaciones atacamenas de atacama la grande",Comunidades Indígenas y organizaciones locales,Institución estatal y empresa,recurso judicial y denuncia,judicial,judicial::2025-08,H0000,estrategia nacional del litio,False,,[],False
1161,2025-11-25,ceol en sector hilaricos,hilaricos,other,comunidades aymara y quechua;ministerio de mineria,Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2025-11,H0000,ceol en sector hilaricos,False,estrategia nacional del litio,"[{""via_doc"": ""1152"", ""w"": 0.6409, ""proyecto"": ""estrategia nacional del litio"", ""organizacion_compartida"": [""comunidades aymara y quechua"", ""ministerio de mineria""]}]",True
1162,2025-09-29,explotacion de litio en el salar de atacama,salar de atacama,salar,"codelco-sqm, corfo;comunidades del pueblo atacameno",comunidad indígena,empresa|institucion estatal,consulta indigena,participativo,participativo::2025-09,H0000,explotacion de litio en el salar de atacama,False,,[],False
1169,2025-09-14,eramet (ceol en salar de agua amarga),salar de agua amarga,salar,"comunidades colla (geoxcultuxial, comuna diego de almagro, chiyagua, runa urka y martires jeronimo);ministerio de mineria",Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2025-09,H0000,eramet (ceol en salar de agua amarga),False,eramet ceol salar de agua amarga;estrategia nacional del litio,"[{""via_doc"": ""1064"", ""w"": 0.6019, ""proyecto"": ""estrategia nacional del litio"", ""organizacion_compartida"": [""ministerio de mineria""]}, {""via_doc"": ""1237"", ""w"": 0.622, ""proyecto"": ""estrategia nacional del litio"", ""organizacion_compartida"": [""comunidades colla (geoxcultuxial, comuna diego de almagro, chiyagua, runa urka y martires jeronimo)"", ""ministerio de mineria""]}, {""via_doc"": ""2199"", ""w"": 0.6355, ""proyecto"": ""eramet ceol salar de agua amarga"", ""organizacion_compartida"": [""comunidades colla (geoxcultuxial, comuna diego de almagro, chiyagua, runa urka y martires jeronimo)"", ""ministerio de mineria""]}]",True
1173,2025-03-25,estrategia nacional del litio,salar de atacama,salar,"ceols, codelco, sqm, albemarle;comunidad coyo, comunidad colla pai ote",Comunidad Indígena,Proyecto Estatal / Empresa,consulta indigena / oposicion comunitaria,participativo,participativo::2025-03,H0000,estrategia nacional del litio,False,,[],False
1176,2025-05-29,acuerdo codelco-sqm para explotacion de litio,salar de atacama,salar,"comunidades atacamenas (ej. comunidad atacamena de coyo, comunidad de toconao);sqm, codelco, acuerdo codelco-sqm",Comunidades Indígenas,Empresa y Acuerdo Estatal,denuncia y oposicion a proceso de consulta,administrativo_general,administrativo_general::2025-05,H0000,acuerdo codelco-sqm para explotacion de litio,False,,[],False
1177,2025-09-15,ceol salar de agua amarga,salar de agua amarga,salar,comunidades colla;ministerio de mineria / ceol salar de agua amarga,Comunidad Indígena,Institución Estatal / Proyecto,consulta indigena / acuerdo,participativo,participativo::2025-09,H0000,ceol salar de agua amarga,False,,[],False
1205,2023-04-20,estrategia nacional del litio,salar de atacama,salar,consejo de pueblos atacamenos;gobierno de chile,comunidad indigena,estado,politica publica,otro,otro::2023-04,H0000,estrategia nacional del litio,False,,[],False
1211,2025-01-14,produccion de sales maricunga,salar de maricunga,salar,comunidad colla pai ote;simco (grupo errazuriz),Comunidad Indígena,Empresa,acuerdo de colaboracion y beneficio mutuo,acuerdo_contractual,acuerdo_contractual::2025-01,H0000,produccion de sales maricunga,False,,[],False
1218,2024-12-30,estrategia nacional del litio,region de antofagasta,region,comunidades lickanantay;gobierno de chile / ministerio de mineria,comunidad indígena,institución estatal,reunion/dialogo,participativo,participativo::2024-12,H0000,estrategia nacional del litio,False,,[],False
1225,2024-01-16,litio en maricunga y otros salares de atacama,salar de maricunga,salar,codelco/estado de chile;comunidad colla pai ote,Comunidad Indígena,Empresa Estatal/Estrategia Nacional,reclamo/propuesta de acuerdo,acuerdo_contractual,acuerdo_contractual::2024-01,H0000,litio en maricunga y otros salares de atacama,False,,[],False
1229,2026-02-03,estrategia nacional del litio,salar de piedra parada,salar,comunidades colla;ministerio de mineria,Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2026-02,H0000,estrategia nacional del litio,False,,[],False
1232,2025-12-16,ceol en laguna verde,laguna verde,lake,"comunidades colla runa urka, pai ote y sol naciente de pastos grandes;ministerio de mineria",Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2025-12,H0000,ceol en laguna verde,False,estrategia nacional del litio,"[{""via_doc"": ""1233"", ""w"": 0.6355, ""proyecto"": ""estrategia nacional del litio"", ""organizacion_compartida"": [""comunidades colla runa urka, pai ote y sol naciente de pastos grandes"", ""ministerio de mineria""]}]",True
1233,2025-12-17,estrategia nacional del litio,laguna verde,lake,"comunidades colla runa urka, pai ote y sol naciente de pastos grandes;ministerio de mineria",Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2025-12,H0000,estrategia nacional del litio,False,ceol en laguna verde,"[{""via_doc"": ""1232"", ""w"": 0.6355, ""proyecto"": ""ceol en laguna verde"", ""organizacion_compartida"": [""comunidades colla runa urka, pai ote y sol naciente de pastos grandes"", ""ministerio de mineria""]}]",True
1237,2025-09-13,estrategia nacional del litio,salar de agua amarga,salar,"comunidades colla (geoxcultuxial, comuna diego de almagro, chiyagua, runa urka y martires jeronimo);ministerio de mineria",Comunidad Indígena,Institución Estatal,consulta indigena,participativo,participativo::2025-09,H0000,estrategia nacional del litio,False,eramet (ceol en salar de agua amarga);eramet ceol salar de agua amarga;estrategia nacional del litio / ceol salar de agua amarga,"[{""via_doc"": ""1169"", ""w"": 0.622, ""proyecto"": ""eramet (ceol en salar de agua amarga)"", ""organizacion_compartida"": [""comunidades colla (geoxcultuxial, comuna diego de almagro, chiyagua, runa urka y martires jeronimo)"", ""ministerio de mineria""]}, {""via_doc"": ""2094"", ""w"": 0.6218, ""proyecto"": ""estrategia nacional del litio / ceol salar de agua amarga"", ""organizacion_compartida"": [""comunidades colla (geoxcultuxial, comuna diego de almagro, chiyagua, runa urka y martires jeronimo)"", ""ministerio de mineria""]}, {""via_doc"": ""2199"", ""w"": 0.6306, ""proyecto"": ""eramet ceol salar de agua amarga"", ""organizacion_compartida"": [""comunidades colla (geoxcultuxial, comuna diego de almagro, chiyagua, runa urka y martires jeronimo)"", ""ministerio de mineria""]}]",True
1242,2023-06-12,estrategia nacional del litio,salar de atacama,salar,"codelco, enami, sqm, gobierno de chile;comunidades colla de pai ote, consejo de pueblos atacamenos (cpa)",Comunidades Indígenas,Empresas y Estado,dialogo y demanda de participacion,judicial,judicial::2023-06,H0000,estrategia nacional del litio,False,,[],False
1244,2023-06-30,estrategia nacional del litio,san pedro de atacama,locality,"gobierno de chile (presidente boric, ministerio de mineria);pueblos originarios (atacamenos, collas, quechuas, aymaras) y consejo de pueblos atacamenos",community,state_actor,dialogue,otro,otro::2023-06,H0000,estrategia nacional del litio,False,,[],False
1250,2024-05-31,extraccion de litio en el salar de atacama,salar de atacama,salar,"comunidades del salar de atacama (toconao, coyo, peine);sqm, codelco-sqm",Comunidades Indígenas,Empresa y Acuerdo Estatal,protesta y bloqueo de caminos,manifestacion_publica,manifestacion_publica::2024-05,H0000,extraccion de litio en el salar de atacama,False,,[],False
1259,2025-07-31,proyecto blanco,salar de maricunga,salar,comunidad indigena colla de copiapo;proyecto blanco (minera salar blanco),comunidad indigena y vecinos,proyecto y empresa,recurso judicial,judicial,judicial::2025-07,H0000,proyecto blanco,False,,[],False
1260,2025-08-01,proyecto blanco,salar de maricunga,salar,comunidad indigena colla de la comuna de copiapo y ocho vecinos;proyecto blanco de minera salar blanco,comunidad indigena y vecinos,proyecto y empresa,recurso judicial,judicial,judicial::2025-08,H0000,proyecto blanco,False,,[],False
1275,2023-11-10,proyecto salar blanco,salar de maricunga,salar,codelco;comunidad colla pai ote,Comunidad Indígena,Empresa Estatal,demanda judicial,judicial,judicial::2023-11,H0000,proyecto salar blanco,False,,[],False
1277,2023-10-26,proyecto blanco,salar de maricunga,salar,codelco / proyecto blanco (lithium power);comunidad colla pai ote,Comunidad Indígena,Empresa Estatal / Proyecto,demanda / oposicion judicial,judicial,judicial::2023-10,H0000,proyecto blanco,False,,[],False
1279,2025-01-28,proyecto blanco,salar de maricunga,salar,codelco maximo pacheco matte;recuperemos el cobre chile julian alcayaga olivares mauricio daza,ONG|Abogado,Empresa estatal|Directorio de empresa estatal,reapertura de investigacion judicial,otro,otro::2025-01,H0000,proyecto blanco,False,,[],False
1281,2024-05-09,proyecto salar blanco,salar de maricunga,salar,"codelco, proyecto salar blanco;comunidades colla de copiapo y pai’ ote",Comunidad Indígena,Empresa estatal y Proyecto,impugnacion judicial y oposicion de comunidades,otro,otro::2024-05,H0000,proyecto salar blanco,False,,[],False
1284,2024-05-30,proyecto blanco,salar de maricunga,salar,codelco y maximo pacheco;julian alcayaga olivares,Abogado/Economista,Empresa estatal y su directiva,querella criminal,otro,otro::2024-05,H0000,proyecto blanco,False,,[],False
1339,2024-07-25,proyecto blanco,salar de maricunga,salar,comunidad indigena colla copiapo;servicio de evaluacion ambiental (seia),comunidad indigena,institucion estatal,recurso de proteccion,judicial,judicial::2024-07,H0000,proyecto blanco,False,,[],False
1386,2025-08-21,acuerdo sqm-codelco,salar de atacama,salar,"comunidad de coyo, albemarle;sqm, codelco, seia de antofagasta, gobierno",Comunidad y Minera,Empresa y Autoridad Ambiental,denuncia y oposicion social,administrativo_general,administrativo_general::2025-08,H0000,acuerdo sqm-codelco,False,,[],False
1461,2025-10-16,proyectos de albemarle y sqm en el salar de atacama,salar de atacama,salar,albemarle;proyectos de albemarle y sqm en el salar de atacama,Empresa,Proyectos y Permisos Ambientales,solicitud de revision de permisos ambientales,administrativo_autorizatorio,administrativo_autorizatorio::2025-10,H0000,proyectos de albemarle y sqm en el salar de atacama,False,,[],False
1462,2025-10-22,extraccion de litio en el salar de atacama,salar de atacama,salar,"comunidades atacamenas y organizaciones territoriales;proyectos de extraccion de litio en el salar de atacama, plantas desaladoras, delegacion presidencial provincial de el loa",Comunidades y organizaciones territoriales,Proyectos de extracción minera y estatal,protesta y entrega de petitorio,manifestacion_publica,manifestacion_publica::2025-10,H0000,extraccion de litio en el salar de atacama,False,,[],False
1463,2025-06-19,,salar de atacama,salar,albemarle;servicio de evaluacion ambiental (sea),Empresa,Institución estatal,alerta/solicitud de revision de permiso ambiental,administrativo_autorizatorio,administrativo_autorizatorio::2025-06,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
1470,2025-12-19,salar futuro,salar de atacama,salar,"codelco, sqm salar spa, corfo;contraloria general de la republica",Institución estatal,"Empresa estatal y privada, Institución estatal",aprobacion de contratos y modificaciones,acuerdo_contractual,acuerdo_contractual::2025-12,H0000,salar futuro,False,,[],False
1471,2025-08-08,,salar de atacama,salar,albemarle;comision de evaluacion ambiental de antofagasta,Empresa,Institución estatal,solicitud de revision de permiso ambiental y suspension de sesion,administrativo_autorizatorio,administrativo_autorizatorio::2025-08,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
1481,2025-01-02,,salar de atacama,salar,albemarle;sqm salar,Empresa,Empresa,solicitud de revision de permisos ambientales,administrativo_autorizatorio,administrativo_autorizatorio::2025-01,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
150,2024-06-03,proyecto salar futuro,salar de atacama,salar,codelco y sqm;consejo de pueblos atacamenos,pueblo indigena,empresa,comunicado de rechazo,otro,otro::2024-06,H0000,proyecto salar futuro,False,,[],False
1503,2024-06-27,,salar de atacama,salar,albemarle;sqm y sus permisos ambientales,Empresa,Empresa y Proyecto,solicitud de revision de permisos ambientales,administrativo_autorizatorio,administrativo_autorizatorio::2024-06,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
1509,2024-01-22,salar futuro,salar de atacama,salar,"comunidad de peine, consejo de pueblos atacamenos (cpa);sqm, codelco, albemarle, minera escondida, minera zaldivar",Comunidad indígena,Empresa minera,demanda judicial y oposicion comunitaria,judicial,judicial::2024-01,H0000,salar futuro,False,,[],False
1515,2024-05-31,explotacion de litio en el salar de atacama,salar de atacama,salar,codelco y sqm (asociacion para explotacion de litio);comunidades atacamenas,Comunidad Indígena,Empresa y Proyecto,consulta indigena y sea,participativo,participativo::2024-05,H0000,explotacion de litio en el salar de atacama,False,,[],False
1535,2025-07-17,acuerdo codelco-sqm,salar de atacama,salar,"comunidad atacamena de coyo;corfo, codelco, sqm",Comunidad indígena,Institución estatal y empresas,recurso de proteccion,judicial,judicial::2025-07,H0000,acuerdo codelco-sqm,False,,[],False
1536,2025-06-12,acuerdo sqm-codelco para extraccion de litio,salar de atacama,salar,"comunidades atacameno lickanantay (socaire, toconao, peine, camar, talabre, coyo);corfo, sqm, codelco",Comunidad Indígena,Institución Estatal y Empresa,consulta indigena y critica publica,participativo,participativo::2025-06,H0000,acuerdo sqm-codelco para extraccion de litio,False,,[],False
1550,2024-06-25,acuerdo codelco-sqm,salar de atacama,salar,acuerdo codelco-sqm;comunidad coyo,Comunidad Indígena,Empresa y Acuerdo,recurso de proteccion,judicial,judicial::2024-06,H0000,acuerdo codelco-sqm,False,,[],False
1551,2023-06-15,,salar de maricunga,salar,"comunidad colla pai ote;sqm, enami, estrategia nacional del litio",Comunidad Indígena,Empresa y Política Pública,seminario y dialogo,participativo,participativo::2023-06,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
1568,2024-05-28,acuerdo codelco-sqm,salar de atacama,salar,"codelco, sqm, corfo;comunidades del salar de atacama (consejo de pueblos atacamenos, toconao, socaire, camar)",Comunidad Indígena,Empresa y Entidad Estatal,"protesta, bloqueo, reprogramacion de consulta indigena",participativo,participativo::2024-05,H0000,acuerdo codelco-sqm,False,,[],False
1569,2024-02-16,acuerdo codelco-sqm para explotacion de litio,salar de atacama,salar,"comunidades lickanantay (toconao, socaire, talabre, camar, peine);sqm y codelco",Comunidades Indígenas,Empresa y Empresa Estatal,toma de accesos y protesta,manifestacion_publica,manifestacion_publica::2024-02,H0000,acuerdo codelco-sqm para explotacion de litio,False,,[],False
1571,2024-03-12,acuerdo codelco-sqm para explotacion del salar de atacama,salar de atacama,salar,"comunidades de toconao, camar, socaire y talabre;sqm y codelco",Comunidades Indígenas,Empresa y Empresa Estatal,toma de accesos y movilizacion,manifestacion_publica,manifestacion_publica::2024-03,H0000,acuerdo codelco-sqm para explotacion del salar de atacama,False,,[],False
1573,2024-02-17,acuerdo codelco-sqm para explotacion de litio,salar de atacama,salar,"codelco y sqm, gobierno de chile;consejo de pueblos atacamenos (cpa)",Comunidad Indígena,Empresa y Estado,movilizacion social y comunicado publico,otro,otro::2024-02,H0000,acuerdo codelco-sqm para explotacion de litio,False,,[],False
1576,2025-01-09,acuerdo codelco-sqm,salar de maricunga,salar,comision para el mercado financiero (cmf) / acuerdo codelco-sqm;comunidad colla pai ote,Comunidad Indígena,Institución Estatal / Acuerdo Empresarial,recurso judicial / tercero coadyuvante,judicial,judicial::2025-01,H0000,acuerdo codelco-sqm,False,,[],False
1580,2024-12-04,acuerdo codelco-sqm para la explotacion del litio,salar de atacama,salar,acuerdo codelco-sqm para la explotacion del litio;comunidad atacamena de coyo,comunidad indigena,empresa|proyecto,recurso judicial,judicial,judicial::2024-12,H0000,acuerdo codelco-sqm para la explotacion del litio,False,,[],False
1618,2023-12-15,,salar de atacama,salar,consejo de pueblos atacamenos (cpa);sqm y codelco,Comunidad Indígena,Empresa y Estatal,convenio y negociacion,acuerdo_contractual,acuerdo_contractual::2023-12,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
1653,2025-12-19,estrategia nacional del litio,salar de atacama,salar,"contraloria general de la republica, pueblo atacameno;sqm salar spa, codelco, minera tarar spa, estrategia nacional del litio",Institución estatal y comunidades indígenas,Empresa y proyecto,aprobacion de contratos y consulta indigena,participativo,participativo::2025-12,H0000,estrategia nacional del litio,False,,[],False
1656,2025-09-29,salar futuro,salar de atacama,salar,albemarle;sistema de evaluacion ambiental (sea) de antofagasta,Empresa,Institución estatal,solicitud de revision de rca,otro,otro::2025-09,H0000,salar futuro,False,,[],False
1661,2025-09-23,salar futuro,salar de atacama,salar,"corfo;sqm, codelco, contraloria general de la republica",Institución estatal,Empresa y Estado,aprobacion de contratos y consulta indigena,participativo,participativo::2025-09,H0000,salar futuro,False,,[],False
1669,2025-09-22,salar futuro,salar de atacama,salar,"corfo, codelco, sqm;pueblo lickanantay o atacameno",Pueblo Indígena,Institución Estatal y Empresas,consulta indigena y aprobacion de contratos,participativo,participativo::2025-09,H0000,salar futuro,False,,[],False
1671,2025-09-01,explotacion de litio en salar de atacama,salar de atacama,salar,"comunidades indigenas, corfo, samr (china);sqm, codelco, proyecto de litio en salar de atacama",Comunidades Indígenas y Autoridades Regulatorias,Empresa y Proyecto,consulta indigena y aprobacion regulatoria,participativo,participativo::2025-09,H0000,explotacion de litio en salar de atacama,False,,[],False
1678,2025-08-01,acuerdo sqm-codelco,salar de atacama,salar,acuerdo sqm-codelco;fundacion terram,ONG,acuerdo empresarial y estatal,declaracion publica,manifestacion_publica,manifestacion_publica::2025-08,H0000,acuerdo sqm-codelco,False,,[],False
1690,2025-10-26,alianza sqm-codelco en salar de atacama,salar de atacama,salar,comision para el mercado financiero (cmf);tianqi,empresa,institucion estatal,recurso judicial,judicial,judicial::2025-10,H0000,alianza sqm-codelco en salar de atacama,False,,[],False
1691,2025-07-16,acuerdo codelco-sqm,salar de atacama,salar,comunidad atacamena de coyo;corfo,Comunidad Indígena,Institución Estatal,recurso de proteccion,judicial,judicial::2025-07,H0000,acuerdo codelco-sqm,False,,[],False
16980,2023-11-09,explotacion de litio en el salar de atacama,salar de atacama,salar,codelco;consejo de pueblos atacamenos,pueblo indigena,empresa,rechazo formal,manifestacion_publica,manifestacion_publica::2023-11,H0000,explotacion de litio en el salar de atacama,False,,[],False
1704,2025-12-19,acuerdo codelco-sqm,salar de atacama,salar,codelco-sqm;contraloria general de la republica,Institución estatal,Empresa mixta y Estado,observaciones y control de legalidad,otro,otro::2025-12,H0000,acuerdo codelco-sqm,False,,[],False
1725,2023-12-27,proyecto salar futuro,salar de atacama,salar,"asociacion consejo de pueblos atacamenos;codelco, sqm, proyecto salar futuro",comunidad indigena,empresa/proyecto,acuerdo/negociacion,acuerdo_contractual,acuerdo_contractual::2023-12,H0000,proyecto salar futuro,False,,[],False
1726,2024-06-13,programa de cumplimiento refundido (pdcr),salar de atacama,salar,consejo de pueblos atacamenos;sqm salar,comunidad indigena,empresa,reclamacion judicial,judicial,judicial::2024-06,H0000,programa de cumplimiento refundido (pdcr),False,,[],False
1732,2024-01-22,salar futuro,salar de atacama,salar,"comunidad de peine, consejo de pueblos atacamenos (cpa);sqm, codelco, albemarle, minera escondida, minera zaldivar",Comunidad Indígena,Empresa,demanda judicial y consulta indigena,judicial,judicial::2024-01,H0000,salar futuro,False,,[],False
1761,2022-09-15,salar futuro,salar de atacama,salar,sqm / salar futuro,comunidad / ONG / observadores,empresa / proyecto,plan de reparacion / compromiso social,otro,otro::2022-09,H0000,salar futuro,False,,[],False
1773,2025-10-17,,salar de atacama,salar,albemarle;rca de albemarle,Empresa,Proyecto/Permiso Ambiental,revision de permiso ambiental,administrativo_autorizatorio,administrativo_autorizatorio::2025-10,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
1774,2025-10-09,salar de atacama,salar de atacama,salar,albemarle;servicio de evaluacion ambiental (sea) de antofagasta,Empresa,Institución estatal,solicitud administrativa,otro,otro::2025-10,H0000,salar de atacama,False,,[],False
1789,2024-11-26,,salar de atacama,salar,albemarle;sqm,Empresa,Empresa,solicitud de revision de permisos / oposicion a solicitud,administrativo_autorizatorio,administrativo_autorizatorio::2024-11,H0000,SIN_PROYECTO_INSTALACION_IDENTIFICADO,True,,[],False
18021,2025-01-03,estrategia nacional del litio (enl),socaire,locality,comunidad atacamena de socaire;gobierno de chile,comunidad indigena,gobierno,reclamacion formal,administrativo_general,administrativo_general::2025-01,H0000,estrategia nacional del litio (enl),False,estrategia nacional del litio,"[{""via_doc"": ""39"", ""w"": 0.8608, ""proyecto"": ""estrategia nacional del litio"", ""organizacion_compartida"": [""comunidad atacamena de socaire""]}]",True
18028,2023-07-11,salar de atacama,salar de atacama,salar,codelco;consejo de pueblos atacamenos,pueblo indigena,empresa,reclamacion formal,administrativo_general,administrativo_general::2023-07,H0000,salar de atacama,False,,[],False
1840,2026-01-13,salar futuro,salar de atacama,salar,codelco sqm novaandino litio;quiroz y asociados grupo errazuriz,consultora|parlamentarios,empresa|proyecto|acuerdo,debate academico/publico,otro,otro::2026-01,H0000,salar futuro,False,,[],False
1843,2025-12-19,acuerdo codelco-sqm para explotacion de litio,salar de atacama,salar,"codelco, sqm, corfo;contraloria general de la republica, diputados (bianchi, musante, soto, tapia, ulloa), comunidad indigena atacamena de checar (camilo lagos), comunidad atacamena de coyo (lady sandon)",institucional|indigena|politico,empresa|institucion estatal,observaciones institucionales y denuncia,administrativo_general,administrativo_general::2025-12,H0000,acuerdo codelco-sqm para explotacion de litio,False,,[],False
1846,2025-12-19,acuerdo codelco-sqm para explotacion de litio,salar de atacama,salar,"codelco, sqm, corfo;contraloria general de la republica",Institución estatal,Empresa y Corporación estatal,toma de razon con condiciones,manifestacion_publica,manifestacion_publica::2025-12,H0000,acuerdo codelco-sqm para explotacion de litio,False,,[],False
1852,2026-01-28,estrategia nacional del litio,salar de atacama,salar,acuerdo codelco-sqm;tianqi,empresa,acuerdo estatal/empresarial,recurso judicial,judicial,judicial::2026-01,H0000,estrategia nacional del litio,False,,[],False
1859,2025-11-14,acuerdo codelco-sqm,salar de atacama,salar,acuerdo codelco-sqm;tianqi,Empresa,Acuerdo/Contrato,accion legal/regulatoria,otro,otro::2025-11,H0000,acuerdo codelco-sqm,False,,[],False
1860,2025-09-22,salar futuro,salar de atacama,salar,"corfo;sqm salar spa, codelco, minera tarar spa, salar futuro",institucion estatal,empresa|proyecto|institucion estatal,aprobacion de contratos y consulta indigena,participativo,participativo::2025-09,H0000,salar futuro,False,,[],False
1861,2026-01-27,novandino litio,salar de atacama,salar,acuerdo codelco-sqm / codelco y sqm;tianqi,empresa,acuerdo/empresa,recurso judicial,judicial,judicial::2026-01,H0000,novandino litio,False,,[],False
1862,2025-11-10,asociacion codelco-sqm,salar de atacama,salar,"codelco, sqm;state administration for market regulation (china)",empresa,institucion estatal,aprobacion regulatoria,otro,otro::2025-11,H0000,asociacion codelco-sqm,False,,[],False
1868,2025-12-23,estrategia nacional del litio,salar de atacama,salar,codelco-sqm;gobierno de chile,Estado de Chile,empresa|proyecto,acuerdo/alianza,acuerdo_contractual,acuerdo_contractual::2025-12,H0000,estrategia nacional del litio,False,,[],False
